Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Name_2,description_2,timestamp_2,begin_2,end_2,altitudeMode_2,tessellate_2,extrude_2,visibility_2,drawOrder_2,icon_2
"240",240<BR>ECID=d845a7f3-2cd7-4a73-9205-e4aaac6ebf38<BR>ID=d845a7f3-2cd7-4a73-9205-e4aaac6ebf38<BR>LABEL=UNIT:240||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=240<BR>DATE=2019-05-06T10:58:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"241",241<BR>ECID=84bd6a8e-3189-4880-88be-1b093de70530<BR>ID=84bd6a8e-3189-4880-88be-1b093de70530<BR>LABEL=UNIT:241||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=241<BR>DATE=2019-05-06T11:42:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"242",242<BR>ECID=c985398a-562e-4323-8e8e-521a9a7014ca<BR>ID=c985398a-562e-4323-8e8e-521a9a7014ca<BR>LABEL=UNIT:242||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=242<BR>DATE=2019-05-06T11:42:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"243",243<BR>ECID=59e2f068-d83e-4253-bb2f-2bfd8e393fe3<BR>ID=59e2f068-d83e-4253-bb2f-2bfd8e393fe3<BR>LABEL=UNIT:243||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=243<BR>DATE=2019-05-06T11:42:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"244",244<BR>ECID=544a54ee-c2aa-4d5b-991e-b47aa906c668<BR>ID=544a54ee-c2aa-4d5b-991e-b47aa906c668<BR>LABEL=UNIT:244||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=244<BR>DATE=2019-05-06T11:42:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"245",245<BR>ECID=d81b28f3-a78c-4321-8730-0fe0e0b6f3d8<BR>ID=d81b28f3-a78c-4321-8730-0fe0e0b6f3d8<BR>LABEL=UNIT:245||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=245<BR>DATE=2019-05-06T11:42:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"246",246<BR>ECID=6fec4be9-9a1a-47ad-9bd0-1d5ca7ef9437<BR>ID=6fec4be9-9a1a-47ad-9bd0-1d5ca7ef9437<BR>LABEL=UNIT:246||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=246<BR>DATE=2019-05-06T11:42:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"247",247<BR>ECID=7f8bec24-e111-418b-9c2e-dca0feceb39a<BR>ID=7f8bec24-e111-418b-9c2e-dca0feceb39a<BR>LABEL=UNIT:247||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=247<BR>DATE=2019-05-06T11:42:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"248",248<BR>ECID=4816fc84-51ed-430c-9b0b-986968ea99d7<BR>ID=4816fc84-51ed-430c-9b0b-986968ea99d7<BR>LABEL=UNIT:248||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=248<BR>DATE=2019-05-06T11:42:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"249",249<BR>ECID=a457afa1-4683-47d3-8c3c-28f3d35e5fee<BR>ID=a457afa1-4683-47d3-8c3c-28f3d35e5fee<BR>LABEL=UNIT:249||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=249<BR>DATE=2019-05-06T11:42:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
