BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:AGC2308	1	Boletobiinae	1	T
BOLD:AGC2318	1	Blattodea	1	T
BOLD:AGC2324	1	Blattodea	1	T
BOLD:AGC3047	1	Araneae	1	T
BOLD:AGC3187	1	Aphrophoridae	1	T
BOLD:AGC3270	1	Amphipsocidae	1	T
BOLD:AGC3514	4	Cydnidae	3	T
BOLD:AGC3514	4	Hemiptera	1	T
BOLD:AGC3576	3	Flatidae	2	T
BOLD:AGC3576	3	Hemiptera	1	T
BOLD:AGC3644	1	Zeuzerinae	1	T
BOLD:AGC3677	1	Ennominae	1	T
BOLD:AGC3785	1	Cheloninae	1	T
BOLD:AGC3824	10	Carabidae	10	T
BOLD:AGC3939	1	Lymexylidae	1	T
BOLD:AGC4515	5	Bagisarinae	5	T
BOLD:AGC4734	1	Ennominae	1	T
BOLD:AGC4842	1	Tachininae	1	T
BOLD:AGC4870	1	Erebidae	1	T
BOLD:AGC5303	2	Spilomelinae	2	T
BOLD:AGC5304	2	Spilomelinae	2	T
BOLD:AGC5623	3	Phycitinae	3	T
BOLD:AGC5767	1	Carabidae	1	T
BOLD:AGC5768	1	Carabidae	1	T
BOLD:AGC5769	1	Bostrichidae	1	T
BOLD:AGC5770	1	Bostrichidae	1	T
BOLD:AGC5788	1	Cleridae	1	T
BOLD:AGC6123	1	Orthoptera	1	T
BOLD:AGC6126	1	Orthoptera	1	T
BOLD:AGC6418	1	Lepidoptera	1	T
BOLD:AGC6467	1	Lepidoptera	1	T
BOLD:AGC6468	1	Lepidoptera	1	T
BOLD:AGC6469	1	Lepidoptera	1	T
BOLD:AGC6663	1	Scelionidae	1	T
BOLD:AGC6668	1	Braconinae	1	T
BOLD:AGC7411	1	Opiinae	1	T
BOLD:AGC7427	1	Ichneumonidae	1	T
BOLD:AGC7594	1	Miridae	1	T
BOLD:AGC7595	1	Reduviidae	1	T
BOLD:AGC7596	1	Reduviidae	1	T
BOLD:AGC7607	1	Flatidae	1	T
BOLD:AGC7608	1	Hemiptera	1	T
BOLD:AGC7617	1	Hemiptera	1	T
BOLD:AGC7618	1	Derbidae	1	T
BOLD:AGC7623	1	Aleyrodidae	1	T
BOLD:AGC7627	1	Miridae	1	T
BOLD:AGC7663	1	Derbidae	1	T
BOLD:AGC7665	1	Cixiidae	1	T
BOLD:AGC7666	1	Cicadellidae	1	T
BOLD:AGC7671	1	Pentatomidae	1	T
BOLD:AGC7673	1	Reduviidae	1	T
BOLD:AGC7675	1	Pentatomidae	1	T
BOLD:AGC7811	1	Reduviidae	1	T
BOLD:AGC7812	1	Pentatomidae	1	T
BOLD:AGC7813	1	Pentatomidae	1	T
BOLD:AGC9347	1	Histeridae	1	T
BOLD:AGC9348	1	Bostrichidae	1	T
BOLD:AGC9350	1	Curculionidae	1	T
BOLD:AGC9353	1	Cerambycidae	1	T
BOLD:AGC9359	1	Elateridae	1	T
BOLD:AGC9362	1	Brentidae	1	T
BOLD:AGC9363	1	Elateridae	1	T
BOLD:AGC9368	1	Curculionidae	1	T
BOLD:AGC9382	1	Curculionidae	1	T
BOLD:AGC9386	1	Nitidulidae	1	T
BOLD:AGC9387	1	Brentidae	1	T
BOLD:AGC9393	1	Tenebrionidae	1	T
BOLD:AGC9396	1	Brentidae	1	T
BOLD:AGC9399	1	Phalacridae	1	T
BOLD:AGC9400	1	Cerambycidae	1	T
BOLD:AGC9402	1	Chrysomelidae	1	T
BOLD:AGC9403	1	Carabidae	1	T
BOLD:AGC9407	1	Cerambycidae	1	T
BOLD:AGC9408	1	Nitidulidae	1	T
BOLD:AGC9409	1	Curculionidae	1	T
BOLD:AGC9410	1	Elateridae	1	T
BOLD:AGC9411	1	Cerambycidae	1	T
BOLD:AGC9412	1	Cerambycidae	1	T
BOLD:AGC9413	1	Lymexylidae	1	T
BOLD:AGC9432	1	Hydrophilidae	1	T
BOLD:AGC9437	1	Tenebrionidae	1	T
BOLD:AGC9438	1	Elateridae	1	T
BOLD:AGC9453	1	Nitidulidae	1	T
BOLD:AGC9574	1	Cerambycidae	1	T
BOLD:AGC9575	1	Tenebrionidae	1	T
BOLD:AGC9576	1	Chrysomelidae	1	T
BOLD:AGC9577	1	Curculionidae	1	T
BOLD:AGC9578	1	Scarabaeidae	1	T
BOLD:AGC9579	1	Cerambycidae	1	T
BOLD:AGC9580	1	Chrysomelidae	1	T
BOLD:AGC9581	1	Curculionidae	1	T
BOLD:AGC9582	1	Scarabaeidae	1	T
BOLD:AGC9583	1	Chrysomelidae	1	T
BOLD:AGC9584	1	Biphyllidae	1	T
BOLD:AGC9585	1	Staphylinidae	1	T
BOLD:AGD0035	1	Tortricidae	1	T
BOLD:AGD0365	1	Tenebrionidae	1	T
BOLD:AGD0440	1	Tachinidae	1	T
BOLD:AGD1390	1	Rhyparochromidae	1	T
BOLD:AGD1554	1	Pyralidae	1	T
BOLD:AGD3091	1	Orthoptera	1	T
BOLD:AGD3199	1	Olethreutinae	1	T
BOLD:AGD3289	1	Nolidae	1	T
BOLD:AGD3292	1	Noctuidae	1	T
BOLD:AGD4250	1	Mesoveliidae	1	T
BOLD:AGD4450	1	Mantodea	1	T
BOLD:AGD4497	1	Lycosidae	1	T
BOLD:AGD4952	1	Lepidoptera	1	T
BOLD:AGD4954	1	Lepidoptera	1	T
BOLD:AGD4956	3	Lepidoptera	3	T
BOLD:AGD4957	1	Lepidoptera	1	T
BOLD:AGD4959	5	Lepidoptera	5	T
BOLD:AGD4960	4	Lepidoptera	4	T
BOLD:AGD4961	1	Lepidoptera	1	T
BOLD:AGD4962	1	Lepidoptera	1	T
BOLD:AGD4963	1	Lepidoptera	1	T
BOLD:AGD4964	1	Lepidoptera	1	T
BOLD:AGD5035	1	Lepidoptera	1	T
BOLD:AGD5036	1	Lepidoptera	1	T
BOLD:AGD5038	1	Lepidoptera	1	T
BOLD:AGD5600	1	Ichneumonidae	1	T
BOLD:AGD5756	1	Rogadinae	1	T
BOLD:AGD7363	1	Euphorinae	1	T
BOLD:AGD7364	2	Doryctinae	2	T
BOLD:AGD7365	1	Braconinae	1	T
BOLD:AGD8099	2	Reduviidae	2	T
BOLD:AGD8101	2	Pentatomidae	2	T
BOLD:AGD8103	6	Cydnidae	6	T
BOLD:AGD8106	2	Cydnidae	2	T
BOLD:AGD8107	1	Pentatomidae	1	T
BOLD:AGD8108	2	Pentatomidae	2	T
BOLD:AGD8109	2	Cicadellidae	2	T
BOLD:AGD8266	1	Cydnidae	1	T
BOLD:AGD8270	1	Pentatomidae	1	T
BOLD:AGD8271	1	Reduviidae	1	T
BOLD:AGD8280	2	Hemiptera	2	T
BOLD:AGD8289	1	Cydnidae	1	T
BOLD:AGD8292	1	Stenocephalidae	1	T
BOLD:AGD8295	1	Pentatomidae	1	T
BOLD:AGD8298	1	Pentatomidae	1	T
BOLD:AGD8345	7	Carabidae	6	T
BOLD:AGD8345	7	Harpalinae	1	T
BOLD:AGD8346	4	Harpalinae	4	T
BOLD:AGD8441	1	Gracillariidae	1	T
BOLD:AGD8563	1	Gelechiidae	1	T
BOLD:AGD8675	1	Formicidae	1	T
BOLD:AGD8981	1	Eulophidae	1	T
BOLD:AGD9137	1	Erebinae	1	T
BOLD:AGD9283	1	Elateridae	1	T
BOLD:AGD9284	2	Elateridae	2	T
BOLD:AGD9320	1	Dytiscidae	1	T
BOLD:AGE2103	1	Delphacidae	1	T
BOLD:AGE2266	1	Curculionidae	1	T
BOLD:AGE2547	2	Scarabaeidae	2	T
BOLD:AGE2548	21	Scarabaeidae	21	T
BOLD:AGE2549	2	Scarabaeidae	2	T
BOLD:AGE2550	2	Elateridae	2	T
BOLD:AGE2551	6	Chrysomelidae	6	T
BOLD:AGE2557	2	Cerambycidae	2	T
BOLD:AGE2558	2	Curculionidae	2	T
BOLD:AGE2559	1	Laemophloeidae	1	T
BOLD:AGE2661	2	Nitidulidae	2	T
BOLD:AGE2662	2	Curculionidae	2	T
BOLD:AGE2663	1	Cerambycidae	1	T
BOLD:AGE3020	1	Cleridae	1	T
BOLD:AGE3025	2	Scarabaeidae	2	T
