BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:AEW7925	1	Cecidomyiidae	1	T
BOLD:AEW8049	5	Ephydridae	5	T
BOLD:AEW8050	7	Ephydridae	7	T
BOLD:AEW8128	3	Chrysomelidae	1	T
BOLD:AEW8128	3	Coleoptera	2	T
BOLD:AEW8197	1	Cecidomyiidae	1	T
BOLD:AEW8228	2	Syrphidae	2	T
BOLD:AEW8641	1	Cecidomyiidae	1	T
BOLD:AEW8683	2	Diptera	1	T
BOLD:AEW8683	2	Limoniidae	1	T
BOLD:AEW8697	1	Cecidomyiidae	1	T
BOLD:AEW8701	1	Tiphiidae	1	T
BOLD:AEW8722	1	Trypoxylon	1	T
BOLD:AEW8729	1	Cecidomyiidae	1	T
BOLD:AEW8845	1	Cecidomyiidae	1	T
BOLD:AEW8857	1	Cecidomyiidae	1	T
BOLD:AEW9278	2	Orthoptera	2	T
BOLD:AEW9330	1	Coccinellidae	1	T
BOLD:AEW9332	2	Coccinellidae	2	T
BOLD:AEW9427	2	Psychidae	2	T
BOLD:AEW9444	1	Chloropidae	1	T
BOLD:AEW9655	1	Cecidomyiidae	1	T
BOLD:AEW9749	2	Cecidomyiidae	2	T
BOLD:AEW9784	1	Eupterotidae	1	T
BOLD:AEW9796	1	Halictidae	1	T
BOLD:AEW9917	2	Chloropidae	2	T
BOLD:AEW9920	1	Chloropidae	1	T
BOLD:AEW9936	2	Pompilidae	2	T
BOLD:AEX0173	1	Formicidae	1	T
BOLD:AEX0231	2	Formicidae	1	T
BOLD:AEX0231	2	Hymenoptera	1	T
BOLD:AEX0241	1	Ceratopogonidae	1	T
BOLD:AEX0326	1	Eulophidae	1	T
BOLD:AEX0329	8	Formicidae	1	T
BOLD:AEX0329	8	Hymenoptera	7	T
BOLD:AEX0469	21	Formicidae	21	T
BOLD:AEX0583	1	Phoridae	1	T
BOLD:AEX0685	2	Lyonetiidae	2	T
BOLD:AEX0925	1	Cecidomyiidae	1	T
BOLD:AEX0934	1	Buprestidae	1	T
BOLD:AEX0974	1	Eremiaphilidae	1	T
BOLD:AEX0977	1	Cecidomyiidae	1	T
BOLD:AEX0986	1	Cerambycidae	1	T
BOLD:AEX1201	1	Anthicidae	1	T
BOLD:AEX1286	1	Cecidomyiidae	1	T
BOLD:AEX1288	1	Cecidomyiidae	1	T
BOLD:AEX1297	1	Reduviidae	1	T
BOLD:AEX1385	1	Formicidae	1	T
BOLD:AEX1420	26	Formicidae	26	T
BOLD:AEX1450	2	Medina	1	T
BOLD:AEX1450	2	Tachinidae	1	T
BOLD:AEX1500	1	Ceratopogonidae	1	T
BOLD:AEX1502	1	Muscidae	1	T
BOLD:AEX1511	2	Chloropidae	2	T
BOLD:AEX1753	2	Bombyliidae	1	T
BOLD:AEX1753	2	Diptera	1	T
BOLD:AEX1825	1	Figitidae	1	T
BOLD:AEX1955	1	Cecidomyiidae	1	T
BOLD:AEX2034	1	Aleyrodidae	1	T
BOLD:AEX2036	9	Cicadellidae	9	T
BOLD:AEX2092	2	Hymenoptera	1	T
BOLD:AEX2092	2	Pompilidae	1	T
BOLD:AEX2124	3	Polemistus	3	T
BOLD:AEX2270	2	Cecidomyiidae	2	T
BOLD:AEX2300	1	Cicadellidae	1	T
BOLD:AEX2354	7	Larrinae	4	T
BOLD:AEX2354	7	Liris	3	T
BOLD:AEX2490	1	Cecidomyiidae	1	T
BOLD:AEX2516	1	Nepticulidae	1	T
BOLD:AEX2717	1	Rhaconotus	1	T
BOLD:AEX2768	2	Cecidomyiidae	2	T
BOLD:AEX2769	1	Cecidomyiidae	1	T
BOLD:AEX2830	12	Diptera	11	T
BOLD:AEX2830	12	Phoridae	1	T
BOLD:AEX3024	1	Therophilus	1	T
BOLD:AEX3138	1	Mycetophilidae	1	T
BOLD:AEX3304	1	Phalerinae	1	T
BOLD:AEX3376	1	Formicidae	1	T
BOLD:AEX3468	3	Diptera	2	T
BOLD:AEX3468	3	Sarcophagidae	1	T
BOLD:AEX3478	1	Cecidomyiidae	1	T
BOLD:AEX3591	14	Diapriinae	14	T
BOLD:AEX3601	2	Tachinidae	2	T
BOLD:AEX3709	1	Tachinidae	1	T
BOLD:AEX3710	2	Diptera	1	T
BOLD:AEX3710	2	Dolichopodidae	1	T
BOLD:AEX3765	1	Dendrothrips	1	T
BOLD:AEX3817	1	Hymenoptera	1	T
BOLD:AEX3829	1	Cicadellidae	1	T
BOLD:AEX4041	1	Lonchaeidae	1	T
BOLD:AEX4053	10	Formicidae	10	T
BOLD:AEX4456	1	Mordellidae	1	T
BOLD:AEX4458	4	Collembola	4	T
BOLD:AEX4509	2	Atherigona	1	T
BOLD:AEX4509	2	Atherigoninae	1	T
