BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:AEM1229	4	Aleocharinae	4	T
BOLD:AEM1276	60	Delphacidae	60	T
BOLD:AEM1287	6	Hydroptilidae	6	T
BOLD:AEM1323	9	Hydraenidae	9	T
BOLD:AEM1324	2	Carabidae	2	T
BOLD:AEM1331	154	Dytiscidae	154	T
BOLD:AEM1334	27	Oxytelinae	27	T
BOLD:AEM1354	1	Microgastrinae	1	T
BOLD:AEM1355	1	Phanerotoma	1	T
BOLD:AEM1383	5	Ceratopogonidae	5	T
BOLD:AEM1439	3	Paederinae	3	T
BOLD:AEM1478	1	Carabidae	1	T
BOLD:AEM1525	1	Cecidomyiidae	1	T
BOLD:AEM1551	1	Ephemeroptera	1	T
BOLD:AEM1568	2	Cicadellidae	2	T
BOLD:AEM1651	12	Dytiscidae	12	T
BOLD:AEM1663	5	Phoridae	5	T
BOLD:AEM1666	1	Cicadellidae	1	T
BOLD:AEM1756	3	Ceratopogonidae	3	T
BOLD:AEM1838	7	Hydrophilidae	7	T
BOLD:AEM1874	1	Pselaphinae	1	T
BOLD:AEM1880	7	Hydrophilidae	7	T
BOLD:AEM1894	1	Eulophidae	1	T
BOLD:AEM1918	2	Euphorinae	2	T
BOLD:AEM1919	4	Anthocoridae	4	T
BOLD:AEM1968	2	Cicadellidae	2	T
BOLD:AEM2007	6	Ponerinae	6	T
BOLD:AEM2010	3	Acanthocnemus nigricans	3	T
BOLD:AEM2096	1	Chrysomelidae	1	T
BOLD:AEM2097	1	Cerambycidae	1	T
BOLD:AEM2098	34	Cicadellidae	34	T
BOLD:AEM2134	4	Leiodidae	4	T
BOLD:AEM2175	41	Ceratopogonidae	41	T
BOLD:AEM2182	1	Coccinellidae	1	T
BOLD:AEM2185	1	Dytiscidae	1	T
BOLD:AEM2186	2	Nanophyinae	2	T
BOLD:AEM2187	1	Cleridae	1	T
BOLD:AEM2228	1	Thaumatotibia	1	T
BOLD:AEM2301	6	Scarabaeidae	6	T
BOLD:AEM2344	2	Lepidoptera	2	T
BOLD:AEM2345	1	Lepidoptera	1	T
BOLD:AEM2346	2	Lepidoptera	2	T
BOLD:AEM2402	4	Cecidomyiidae	4	T
BOLD:AEM2437	1	Ceratopogonidae	1	T
BOLD:AEM2452	57	Hydrophilidae	57	T
BOLD:AEM2464	2	Cicadellidae	2	T
BOLD:AEM2474	3	Aleocharinae	3	T
BOLD:AEM2531	12	Dytiscidae	12	T
BOLD:AEM2536	21	Dytiscidae	21	T
BOLD:AEM2618	1	Cicadellidae	1	T
BOLD:AEM2629	1	Carabidae	1	T
BOLD:AEM2630	1	Scydmaeninae	1	T
BOLD:AEM2684	15	Lepidoptera	15	T
BOLD:AEM2700	54	Aleocharinae	54	T
BOLD:AEM2718	11	Cicadellidae	11	T
BOLD:AEM2735	1	Tortricidae	1	T
BOLD:AEM2755	3	Dytiscidae	3	T
BOLD:AEM2756	9	Dytiscidae	9	T
BOLD:AEM2759	1	Scarabaeidae	1	T
BOLD:AEM2761	1	Pselaphinae	1	T
BOLD:AEM2802	5	Berothidae	5	T
BOLD:AEM2834	2	Cicadellidae	2	T
BOLD:AEM2837	17	Pleidae	17	T
BOLD:AEM2873	1	Chrysomelidae	1	T
BOLD:AEM2874	2	Carabidae	2	T
BOLD:AEM2879	2	Histeridae	2	T
BOLD:AEM2930	2	Cosmopterigidae	2	T
BOLD:AEM2948	1	Mymaridae	1	T
BOLD:AEM2993	1	Lepidoptera	1	T
BOLD:AEM2994	1	Lepidoptera	1	T
BOLD:AEM3007	2	Cicadellidae	2	T
BOLD:AEM3042	29	Ephemeroptera	29	T
BOLD:AEM3043	1	Arachnida	1	T
BOLD:AEM3048	1	Formicidae	1	T
BOLD:AEM3069	2	Thrips	2	T
BOLD:AEM3087	6	Aleocharinae	6	T
BOLD:AEM3088	5	Aleocharinae	5	T
BOLD:AEM3126	2	Arachnida	2	T
BOLD:AEM3144	20	Arachnida	20	T
BOLD:AEM3199	1	Encyrtidae	1	T
BOLD:AEM3207	2	Bethylidae	2	T
BOLD:AEM3211	1	Cicadellidae	1	T
BOLD:AEM3214	2	Aradidae	2	T
BOLD:AEM3245	7	Miridae	7	T
BOLD:AEM3267	1	Gelechiidae	1	T
BOLD:AEM3419	1	Cheloninae	1	T
